stock, startDate, endDate, level
ATVI,2019-12-30,2019-12-30,10
ADBE,2019-12-30,2019-12-30,10
AMD,2019-12-30,2019-12-30,10
ALXN,2019-12-30,2019-12-30,10
ALGN,2019-12-30,2019-12-30,10
GOOGL,2019-12-30,2019-12-30,10
GOOG,2019-12-30,2019-12-30,10
AMZN,2019-12-30,2019-12-30,10
AAL,2019-12-30,2019-12-30,10
AMGN,2019-12-30,2019-12-30,10
ADI,2019-12-30,2019-12-30,10
ANSS,2019-12-30,2019-12-30,10
AAPL,2019-12-30,2019-12-30,10
AMAT,2019-12-30,2019-12-30,10
ASML,2019-12-30,2019-12-30,10
ADSK,2019-12-30,2019-12-30,10
ADP,2019-12-30,2019-12-30,10
BIDU,2019-12-30,2019-12-30,10
BIIB,2019-12-30,2019-12-30,10
BMRN,2019-12-30,2019-12-30,10
BKNG,2019-12-30,2019-12-30,10
AVGO,2019-12-30,2019-12-30,10
CDNS,2019-12-30,2019-12-30,10
CDW,2019-12-30,2019-12-30,10
CERN,2019-12-30,2019-12-30,10
CHTR,2019-12-30,2019-12-30,10
CHKP,2019-12-30,2019-12-30,10
CTAS,2019-12-30,2019-12-30,10
CSCO,2019-12-30,2019-12-30,10
CTXS,2019-12-30,2019-12-30,10
CTSH,2019-12-30,2019-12-30,10
CMCSA,2019-12-30,2019-12-30,10
CPRT,2019-12-30,2019-12-30,10
CSGP,2019-12-30,2019-12-30,10
COST,2019-12-30,2019-12-30,10
CSX,2019-12-30,2019-12-30,10
DLTR,2019-12-30,2019-12-30,10
EBAY,2019-12-30,2019-12-30,10
EA,2019-12-30,2019-12-30,10
EXC,2019-12-30,2019-12-30,10
EXPE,2019-12-30,2019-12-30,10
FB,2019-12-30,2019-12-30,10
FAST,2019-12-30,2019-12-30,10
FISV,2019-12-30,2019-12-30,10
FOXA,2019-12-30,2019-12-30,10
FOX,2019-12-30,2019-12-30,10
GILD,2019-12-30,2019-12-30,10
IDXX,2019-12-30,2019-12-30,10
ILMN,2019-12-30,2019-12-30,10
INCY,2019-12-30,2019-12-30,10
INTC,2019-12-30,2019-12-30,10
INTU,2019-12-30,2019-12-30,10
ISRG,2019-12-30,2019-12-30,10
JD,2019-12-30,2019-12-30,10
KLAC,2019-12-30,2019-12-30,10
KHC,2019-12-30,2019-12-30,10
LRCX,2019-12-30,2019-12-30,10
LBTYA,2019-12-30,2019-12-30,10
LBTYK,2019-12-30,2019-12-30,10
LULU,2019-12-30,2019-12-30,10
MAR,2019-12-30,2019-12-30,10
MXIM,2019-12-30,2019-12-30,10
MELI,2019-12-30,2019-12-30,10
MCHP,2019-12-30,2019-12-30,10
MU,2019-12-30,2019-12-30,10
MSFT,2019-12-30,2019-12-30,10
MDLZ,2019-12-30,2019-12-30,10
MNST,2019-12-30,2019-12-30,10
NTAP,2019-12-30,2019-12-30,10
NTES,2019-12-30,2019-12-30,10
NFLX,2019-12-30,2019-12-30,10
NVDA,2019-12-30,2019-12-30,10
NXPI,2019-12-30,2019-12-30,10
ORLY,2019-12-30,2019-12-30,10
PCAR,2019-12-30,2019-12-30,10
PAYX,2019-12-30,2019-12-30,10
PYPL,2019-12-30,2019-12-30,10
PEP,2019-12-30,2019-12-30,10
QCOM,2019-12-30,2019-12-30,10
REGN,2019-12-30,2019-12-30,10
ROST,2019-12-30,2019-12-30,10
SGEN,2019-12-30,2019-12-30,10
SIRI,2019-12-30,2019-12-30,10
SWKS,2019-12-30,2019-12-30,10
SPLK,2019-12-30,2019-12-30,10
SBUX,2019-12-30,2019-12-30,10
SNPS,2019-12-30,2019-12-30,10
TMUS,2019-12-30,2019-12-30,10
TTWO,2019-12-30,2019-12-30,10
TSLA,2019-12-30,2019-12-30,10
TXN,2019-12-30,2019-12-30,10
TCOM,2019-12-30,2019-12-30,10
ULTA,2019-12-30,2019-12-30,10
UAL,2019-12-30,2019-12-30,10
VRSN,2019-12-30,2019-12-30,10
VRSK,2019-12-30,2019-12-30,10
VRTX,2019-12-30,2019-12-30,10
WBA,2019-12-30,2019-12-30,10
WDAY,2019-12-30,2019-12-30,10
WDC,2019-12-30,2019-12-30,10
WLTW,2019-12-30,2019-12-30,10
XEL,2019-12-30,2019-12-30,10
XLNX,2019-12-30,2019-12-30,10
